76	Vampire Academy, Frostbite	Richelle Mead	http://www.ftik.usm.ac.id/A699092/amz-141328541-vampire-academy-frostbite-book-2.pdf http://ads.baa.uk.com/ads_B07H4RQP67_frostbite_a_vampire_academy_novel.pdf http://ads.baa.uk.com/88D1957/ads-1595144307-frostbite-a-vampire-academy-graphic-novel-vampire.pdf
77	Outlander, Outlander	Diana Gabaldon	http://ads.baa.uk.com/diana_gabaldon_outlander_series.pdf http://ads.baa.uk.com/ads_1784751332_fiery_cross_outlander_5.pdf http://d1.psn.cards/dcr-1784751375-outlander-outlander-1.pdf
78	Crossroads and the Himalayan Crystals	C. Toni Graham	http://s2.kora.com/crossroads-himalayan-crystals-c-toni-graham.pdf http://3689807707c2f780656a85478d8e79ce.demo.expel.io/crossroads-and-the-himalayan-crystals-c-toni-graham.pdf https://s3.amazonaws.com/evanbayugracie/34/af1447a65c0izqtby34s.pdf
79	The Adventures of Huckleberry Finn	Mark Twain	https://contentserver.adobe.com/store/books/HuckFinn.pdf https://etc.usf.edu/lit2go/pdf/passage/99/the-adventures-of-huckleberry-finn-002-chapter-1.pdf https://americanenglish.state.gov/files/ae/resource_files/huckleberry-finn.pdf
80	Vampire Academy, Shadow Kiss	Richelle Mead	http://www.yb.tl/shadow_kiss_vampire_academy_book_3_myrto.pdf http://ads.baa.uk.com/ads_014132855X_vampire_academy_shadow_kiss_book_3.pdf http://ads.baa.uk.com/vampire_academy_3_shadow_kisses.pdf
81	Just Listen	Sarah Dessen	https://scholar.lib.vt.edu/ejournals/ALAN/v34n2/seglem.pdf http://www.sarahdessen.com/files/excerpts/just-listen.pdf https://gonzalezvewulaw.files.wordpress.com/2020/01/just-listen.pdf
82	Vampire Academy, Blood Promise	Richelle Mead	http://www.ftik.usm.ac.id/A699092/amz-141331860-vampire-academy-blood-promise-book-4.pdf http://uniport.edu.ng/Vampire_Academy_Blood_Promise_Book_4_Mead_Richelle.pdf http://webdisk.bangsamoro.gov.ph/n8WXwa3M9z_vampire-academy-blood-promise.pdf
83	The Picture of Dorian Gray	Oscar Wilde	https://www.planetebook.com/free-ebooks/the-picture-of-dorian-gray.pdf http://englishonlineclub.com/pdf/Oscar%20Wilde%20-%20The%20Picture%20of%20Dorian%20Gray%20(Book%202)%20%5BEnglishOnlineClub.com%5D.pdf http://www.italobritannica.com/Extracts%20from%20The%20Picture%20of%20Dorian%20Gray%20by%20Oscar%20Wilde.pdf
84	Hush, Hush, Crescendo	Becca Fitzpatrick	http://www.ftik.usm.ac.id/A699092/amz-1481400843-the-complete-hush-hush-saga-hush-hush-crescendo-s.pdf http://www.ftik.usm.ac.id/A699092/amz-8498729335-crescendo-saga-hush-hush-2.pdf https://monocelloraku.files.wordpress.com/2019/07/crescendo-the-hush-hush-saga.pdf
85	The Truth About Forever	Sarah Dessen	http://www.ftik.usm.ac.id/3252ABA/the-truth-about-forever-sarah-dessen.pdf http://ads.baa.uk.com/ads_142406252_the_truth_about_forever.pdf http://ftp.mediapost.com/the_truth_about_forever_sarah_dessen.pdf
